comment,count
paper,691
rock,603
Rock,598
Paper,585
Noise,436
Scissor,338
scissor,319
noise,318
Scissors ,287
scissors,265
Scissor ,208
Paper ,204
Rock ,187
Scissors,113
Noise ,92
Stone,77
2023UG000127 ,47
stone,23
Stone ,18
Papers,11
 Noise,7
scissor ,7
2023UG000127,6
v,5
scessior,5
pape,4
plain paper,3
PAPER,3
Papet,3
Phone ,2
ScissorScissor,2
papper,2
Rocky,2
Noiseee,2
Plain paper,2
Phone,2
Rock 🪨 ,2
Nosie,2
rcok,2
Scissors✂,2
scisssors,2
 Scissors,2
 Rock,2
Nouse,1
"Paper
",1
 Paper,1
SCIssors,1
Papets,1
Paper 📄 ,1
🪨 Rock,1
per,1
scissot,1
 Papers,1
noise ,1
rck,1
Roxk,1
Noisee,1
Noisy,1
 Noise ,1
Rcck,1
Roc,1
phone,1
Super,1
Discard,1
Maruthi Paper,1
✂️,1
noisr,1
Papers ,1
Sissors,1
✂Scissors,1
🤘rock,1
Rock🤘,1
rock ,1
Paper📄,1
✂,1
Paper 📃 ,1
Scissor ✂️ ,1
📄Papers,1
🤘 rock,1
Papper,1
psper,1
scissros,1
Rcok,1
Paer,1
Noisr,1
scissor\,1
papert,1
scisors,1
rock and paper,1
Rivk,1
Rok,1
Rick,1
None ,1
Stoneee,1
SCISSORS,1
scisosors,1
 Rocky,1
sissors,1
noise\\,1
NOise,1
rock',1
Noiaw,1
noie,1
paperp,1
papet,1
RockStone ,1
vaidhav,1
ROCK,1
paer,1
Stome,1
Rockk,1
papaer,1
ston,1
3,1
"M
Noise",1
What ,1
Niceeeee,1
